"","VAR00001","VAR00002","VAR00003","VAR00004","VAR00005","VAR00006","VAR00007","VAR00008","VAR00009","VAR00010"
"1",1,4,1,6,5,6,5,3,3,2
"2",2,3,2,4,3,3,3,5,5,2
"3",2,2,2,1,2,1,1,6,6,2
"4",5,1,4,2,2,2,2,2,2,3
"5",1,2,2,5,4,4,4,1,1,2
"6",3,2,3,3,3,3,3,5,5,3
"7",2,2,5,1,2,1,2,4,4,5
"8",4,4,3,4,4,5,3,3,3,3
"9",2,3,2,6,5,6,5,4,4,1
"10",1,4,2,2,1,2,1,4,4,1
"11",1,5,1,3,2,3,2,2,2,1
"12",1,6,1,1,1,1,1,2,2,2
"13",3,1,4,4,4,3,3,5,5,3
"14",2,2,2,2,2,2,2,3,3,2
"15",2,5,1,3,2,3,2,1,1,6
"16",5,6,3,2,1,3,2,5,5,4
"17",1,4,2,2,1,2,1,1,1,3
"18",2,3,1,1,2,2,2,2,2,2
"19",3,3,2,3,4,3,4,3,3,3
"20",4,3,2,7,6,6,6,3,3,6
